"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes"
"idBank";"010767578";""
"Dernière mise à jour";"03/05/2024 08:45";""
"Période";"";""
"1998-01";"272.11";"A"
"1998-02";"272.08";"A"
"1998-03";"269.99";"A"
"1998-04";"266.55";"A"
"1998-05";"262.43";"A"
"1998-06";"259.25";"A"
"1998-07";"263.14";"A"
"1998-08";"257.13";"A"
"1998-09";"258.12";"A"
"1998-10";"256.1";"A"
"1998-11";"267.46";"A"
"1998-12";"254.37";"A"
"1999-01";"250.94";"A"
"1999-02";"249.85";"A"
"1999-03";"245.76";"A"
"1999-04";"238.92";"A"
"1999-05";"212.33";"A"
"1999-06";"237.67";"A"
"1999-07";"240.15";"A"
"1999-08";"240.44";"A"
"1999-09";"237.55";"A"
"1999-10";"240.46";"A"
"1999-11";"238.61";"A"
"1999-12";"212.97";"A"
"2000-01";"219.24";"A"
"2000-02";"221.63";"A"
"2000-03";"222.68";"A"
"2000-04";"200.06";"A"
"2000-05";"210.68";"A"
"2000-06";"223.23";"A"
"2000-07";"217.42";"A"
"2000-08";"227.59";"A"
"2000-09";"221.01";"A"
"2000-10";"216.06";"A"
"2000-11";"212.56";"A"
"2000-12";"220.24";"A"
"2001-01";"217.04";"A"
"2001-02";"216.58";"A"
"2001-03";"213.75";"A"
"2001-04";"213.13";"A"
"2001-05";"213.91";"A"
"2001-06";"213.51";"A"
"2001-07";"211.76";"A"
"2001-08";"213.73";"A"
"2001-09";"213.88";"A"
"2001-10";"212.55";"A"
"2001-11";"209.1";"A"
"2001-12";"206.66";"A"
"2002-01";"210.85";"A"
"2002-02";"208.47";"A"
"2002-03";"214.57";"A"
"2002-04";"214.51";"A"
"2002-05";"201.97";"A"
"2002-06";"199.42";"A"
"2002-07";"198.51";"A"
"2002-08";"198.5";"A"
"2002-09";"199.41";"A"
"2002-10";"199.34";"A"
"2002-11";"197.99";"A"
"2002-12";"190.63";"A"
"2003-01";"185.86";"A"
"2003-02";"192.42";"A"
"2003-03";"193.48";"A"
"2003-04";"195.34";"A"
"2003-05";"194.21";"A"
"2003-06";"191.42";"A"
"2003-07";"187.17";"A"
"2003-08";"177.0";"A"
"2003-09";"179.36";"A"
"2003-10";"178.92";"A"
"2003-11";"178.74";"A"
"2003-12";"186.9";"A"
"2004-01";"181.51";"A"
"2004-02";"182.36";"A"
"2004-03";"180.51";"A"
"2004-04";"182.34";"A"
"2004-05";"185.61";"A"
"2004-06";"177.24";"A"
"2004-07";"175.88";"A"
"2004-08";"170.8";"A"
"2004-09";"168.33";"A"
"2004-10";"162.01";"A"
"2004-11";"169.19";"A"
"2004-12";"169.38";"A"
"2005-01";"172.81";"A"
"2005-02";"163.48";"A"
"2005-03";"165.34";"A"
"2005-04";"159.87";"A"
"2005-05";"160.97";"A"
"2005-06";"161.78";"A"
"2005-07";"165.38";"A"
"2005-08";"170.06";"A"
"2005-09";"169.64";"A"
"2005-10";"168.68";"A"
"2005-11";"167.28";"A"
"2005-12";"165.8";"A"
"2006-01";"166.39";"A"
"2006-02";"167.24";"A"
"2006-03";"159.99";"A"
"2006-04";"160.36";"A"
"2006-05";"159.96";"A"
"2006-06";"161.88";"A"
"2006-07";"160.07";"A"
"2006-08";"160.41";"A"
"2006-09";"165.7";"A"
"2006-10";"164.27";"A"
"2006-11";"164.92";"A"
"2006-12";"159.12";"A"
"2007-01";"143.37";"A"
"2007-02";"135.29";"A"
"2007-03";"149.46";"A"
"2007-04";"150.52";"A"
"2007-05";"154.03";"A"
"2007-06";"154.0";"A"
"2007-07";"153.97";"A"
"2007-08";"151.37";"A"
"2007-09";"150.51";"A"
"2007-10";"151.48";"A"
"2007-11";"151.61";"A"
"2007-12";"154.13";"A"
"2008-01";"154.63";"A"
"2008-02";"153.96";"A"
"2008-03";"153.05";"A"
"2008-04";"153.77";"A"
"2008-05";"148.84";"A"
"2008-06";"151.45";"A"
"2008-07";"156.15";"A"
"2008-08";"149.99";"A"
"2008-09";"144.94";"A"
"2008-10";"143.29";"A"
"2008-11";"139.68";"A"
"2008-12";"142.41";"A"
"2009-01";"134.81";"A"
"2009-02";"153.49";"A"
"2009-03";"140.92";"A"
"2009-04";"140.87";"A"
"2009-05";"140.01";"A"
"2009-06";"144.33";"A"
"2009-07";"137.94";"A"
"2009-08";"137.43";"A"
"2009-09";"135.8";"A"
"2009-10";"136.94";"A"
"2009-11";"136.77";"A"
"2009-12";"134.84";"A"
"2010-01";"133.33";"A"
"2010-02";"128.57";"A"
"2010-03";"132.49";"A"
"2010-04";"133.79";"A"
"2010-05";"126.84";"A"
"2010-06";"143.62";"A"
"2010-07";"143.81";"A"
"2010-08";"140.05";"A"
"2010-09";"142.72";"A"
"2010-10";"143.32";"A"
"2010-11";"143.05";"A"
"2010-12";"142.61";"A"
"2011-01";"144.5";"A"
"2011-02";"143.65";"A"
"2011-03";"141.21";"A"
"2011-04";"141.84";"A"
"2011-05";"141.44";"A"
"2011-06";"138.89";"A"
"2011-07";"135.79";"A"
"2011-08";"137.49";"A"
"2011-09";"137.86";"A"
"2011-10";"133.31";"A"
"2011-11";"133.05";"A"
"2011-12";"129.88";"A"
"2012-01";"124.31";"A"
"2012-02";"126.54";"A"
"2012-03";"128.34";"A"
"2012-04";"130.2";"A"
"2012-05";"127.51";"A"
"2012-06";"122.63";"A"
"2012-07";"122.56";"A"
"2012-08";"123.98";"A"
"2012-09";"120.02";"A"
"2012-10";"121.26";"A"
"2012-11";"122.29";"A"
"2012-12";"120.79";"A"
"2013-01";"116.52";"A"
"2013-02";"124.28";"A"
"2013-03";"121.06";"A"
"2013-04";"117.93";"A"
"2013-05";"119.85";"A"
"2013-06";"120.3";"A"
"2013-07";"123.99";"A"
"2013-08";"131.46";"A"
"2013-09";"124.42";"A"
"2013-10";"120.47";"A"
"2013-11";"118.26";"A"
"2013-12";"122.25";"A"
"2014-01";"121.5";"A"
"2014-02";"117.45";"A"
"2014-03";"116.13";"A"
"2014-04";"116.85";"A"
"2014-05";"115.91";"A"
"2014-06";"116.53";"A"
"2014-07";"118.46";"A"
"2014-08";"117.28";"A"
"2014-09";"119.17";"A"
"2014-10";"121.14";"A"
"2014-11";"118.25";"A"
"2014-12";"118.63";"A"
"2015-01";"121.11";"A"
"2015-02";"124.98";"A"
"2015-03";"127.33";"A"
"2015-04";"127.77";"A"
"2015-05";"132.57";"A"
"2015-06";"132.51";"A"
"2015-07";"131.37";"A"
"2015-08";"128.2";"A"
"2015-09";"125.16";"A"
"2015-10";"128.08";"A"
"2015-11";"133.25";"A"
"2015-12";"132.0";"A"
"2016-01";"130.96";"A"
"2016-02";"132.2";"A"
"2016-03";"130.37";"A"
"2016-04";"128.0";"A"
"2016-05";"124.96";"A"
"2016-06";"124.22";"A"
"2016-07";"124.07";"A"
"2016-08";"124.39";"A"
"2016-09";"120.81";"A"
"2016-10";"120.82";"A"
"2016-11";"118.85";"A"
"2016-12";"119.67";"A"
"2017-01";"118.46";"A"
"2017-02";"113.26";"A"
"2017-03";"115.43";"A"
"2017-04";"118.61";"A"
"2017-05";"118.77";"A"
"2017-06";"117.49";"A"
"2017-07";"113.76";"A"
"2017-08";"114.3";"A"
"2017-09";"116.2";"A"
"2017-10";"116.65";"A"
"2017-11";"121.16";"A"
"2017-12";"118.32";"A"
"2018-01";"116.58";"A"
"2018-02";"116.77";"A"
"2018-03";"120.45";"A"
